"created","favoriteCount","favorited","id","isRetweet","latitude","longitude","replyToSID","replyToSN","replyToUID","retweetCount","retweeted","screenName","statusSource","text","truncated"
"2015-11-20",0,FALSE,"667553617445003264",FALSE,NA,NA,NA,"Olympics","52422878",0,FALSE,"queenwaldorff","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@Olympics The world has spoken #Boycott2020 #tweet4taiji #taiji #tweet4dolphins #OpKillingbay  https://t.co/Xbs3tOqpRo",FALSE
"2015-11-20",0,FALSE,"667552994918010880",FALSE,NA,NA,NA,"Olympics","52422878",0,FALSE,"jennyjj141291","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@Olympics RT if you want Yelena Isinbayeva in international competition. https://t.co/fKHwo9jwZp",FALSE
"2015-11-20",0,FALSE,"667551675377393664",TRUE,NA,NA,NA,NA,NA,2,FALSE,"queenwaldorff","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @LynnCatWalters: @Keyhole__Kate @miladysa Sick @JapanGov @JPN_PMO @AbeShinzo allows #Taiji to continue Boycott @Olympics @The_Tokyo2020 …",FALSE
"2015-11-20",0,FALSE,"667550891302453249",TRUE,NA,NA,NA,NA,NA,1,FALSE,"Eileenonart","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @queenwaldorff: @Olympics Japan has no mercy for this dolphin family! PLS have no mercy on them #Boycott2020 #Taiji #tweet4taiji https:/…",FALSE
"2015-11-20",0,FALSE,"667550405681745920",TRUE,NA,NA,NA,NA,NA,2,FALSE,"Eileenonart","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @LynnCatWalters: @Keyhole__Kate @miladysa Sick @JapanGov @JPN_PMO @AbeShinzo allows #Taiji to continue Boycott @Olympics @The_Tokyo2020 …",FALSE
"2015-11-20",0,FALSE,"667548957200015361",TRUE,NA,NA,NA,NA,NA,1,FALSE,"Jackie34563177","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @LynnCatWalters: The Whole World Must #tweet4taiji  #boycottjapan @Olympics @The_Tokyo2020 We are #RacingExtinction @RacingXtinction  ht…",FALSE
"2015-11-20",1,FALSE,"667548799188000768",FALSE,NA,NA,NA,NA,NA,1,FALSE,"LynnCatWalters","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","The Whole World Must #tweet4taiji  #boycottjapan @Olympics @The_Tokyo2020 We are #RacingExtinction @RacingXtinction  https://t.co/MrCKjKhAWS",FALSE
"2015-11-20",0,FALSE,"667548147099529216",FALSE,NA,NA,NA,NA,NA,0,FALSE,"__1Gary1__","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","The best thing about the @Olympics is when it finishes, the fighters burst onto the pro scene, the next crop of talent mix things up.",FALSE
"2015-11-20",0,FALSE,"667548120952250368",FALSE,NA,NA,"667505428264304641","Keyhole__Kate","478956730",2,FALSE,"LynnCatWalters","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@Keyhole__Kate @miladysa Sick @JapanGov @JPN_PMO @AbeShinzo allows #Taiji to continue Boycott @Olympics @The_Tokyo2020 Disgrace on #Japan RT",FALSE
"2015-11-20",0,FALSE,"667547521431007232",FALSE,NA,NA,NA,"POTUS","1536791610",0,FALSE,"LynnCatWalters","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@POTUS @AbeShinzo @JohnKerry @CarolineKennedy Do SOMETHING  We Will Boycott @Olympics @The_Tokyo2020 in #Japan RT PL https://t.co/xGnW7rdjHM",FALSE
"2015-11-20",0,FALSE,"667547372403208192",FALSE,NA,NA,NA,"Olympics","52422878",1,FALSE,"queenwaldorff","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@Olympics Japan has no mercy for this dolphin family! PLS have no mercy on them #Boycott2020 #Taiji #tweet4taiji https://t.co/yMNN1djZM6",FALSE
"2015-11-20",0,FALSE,"667543323222147072",FALSE,NA,NA,NA,"marcdawsonjr","530958648",0,FALSE,"__1Gary1__","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@marcdawsonjr @Olympics always wondered why they been so good in the Olympics all the time, fighting one overseas you need a miracle or a KO",FALSE
"2015-11-20",2,FALSE,"667537992127410176",FALSE,NA,NA,NA,NA,NA,0,FALSE,"__1Gary1__","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Are Russia gonna be banned from the @Olympics after this drug scandal??? No wonder they are always so successful in the Olympics.. Smh",FALSE
"2015-11-20",0,FALSE,"667530459035926528",TRUE,NA,NA,NA,NA,NA,2,FALSE,"1MindfulWheel","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @RideOnewheel: Summering with @jamieasnow 
• • •
ESPN did a piece on a day in the life of @xgames and @olympics gold… https://t.co/dQjaA…",FALSE
"2015-11-20",0,FALSE,"667521930283454464",TRUE,NA,NA,NA,NA,NA,131,FALSE,"IshtpalBrar","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Olympics: 7 years ago, Su Li-Wen (TPE) inspired millions. #olympics #tbt
https://t.co/9V6H8KKskD",FALSE
"2015-11-20",0,FALSE,"667518431332204545",TRUE,NA,NA,NA,NA,NA,8,FALSE,"crazyrugbyRWC","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","RT @PatrickYuen_36: #Rugby @Olympics facts:
- Debuted in 1900
- Last played at 1924
- #USA most successful, w/ 2 golds
- #FRA w/ most medal…",FALSE
"2015-11-20",0,FALSE,"667518246799679489",FALSE,NA,NA,NA,"Olympics","52422878",0,FALSE,"queenwaldorff","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@Olympics the world has spoken #SayNo to #2020Olympics #Boycott2020 #tweet4taiji #tweet4dolphins #Dolphin_Project  https://t.co/SJOByDZCYS",FALSE
"2015-11-20",0,FALSE,"667516428237475840",TRUE,NA,NA,NA,NA,NA,131,FALSE,"TRP_Academy","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Olympics: 7 years ago, Su Li-Wen (TPE) inspired millions. #olympics #tbt
https://t.co/9V6H8KKskD",FALSE
"2015-11-20",0,FALSE,"667515984056578049",TRUE,NA,NA,NA,NA,NA,19,FALSE,"Astronnegro","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","RT @iaaforg: <ed><U+00A0><U+00BC><ed><U+00BE><U+0081> Happy Birthday to Olympic Champion Dayron Robles  

@robles_daron @Olympics https://t.co/V77XxXUfjy",FALSE
"2015-11-20",0,FALSE,"667514379470901248",TRUE,NA,NA,NA,NA,NA,6966,FALSE,"Andrewcast_","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Olympics: Never give up. So many things are possible. #Olympics http://t.co/wKoz0gmI2q",FALSE
"2015-11-20",0,FALSE,"667514095650930689",FALSE,NA,NA,NA,NA,NA,0,FALSE,"LA2024News","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SBD Global Olympic Series: #Rome2024 Pitch Focuses On City's 'Unique Cultural History' https://t.co/yLJgVZo0Sx via @sbjsbd &gt; #IOC @Olympics",FALSE
