"created","favoriteCount","favorited","id","isRetweet","latitude","longitude","replyToSID","replyToSN","replyToUID","retweetCount","retweeted","screenName","statusSource","text","truncated"
"2015-11-20",0,FALSE,"667551215476060160",FALSE,NA,NA,"667549671108141056","CoccaIsaiah","3108716586",0,FALSE,"jordan_aye3","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@CoccaIsaiah @SportsCenter stats don't lie",FALSE
"2015-11-20",0,FALSE,"667551214322618368",TRUE,NA,NA,NA,NA,NA,629,FALSE,"Myles_Johnson3","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @SportsCenter: Cavaliers improve to 6-0 at home, defeating Bucks, 115-110.

LeBron James: 27 Pts, 9 Reb, 6 Ast https://t.co/De6pX9SHWi",FALSE
"2015-11-20",0,FALSE,"667551211302834176",TRUE,NA,NA,NA,NA,NA,629,FALSE,"DatDude_Santi21","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @SportsCenter: Cavaliers improve to 6-0 at home, defeating Bucks, 115-110.

LeBron James: 27 Pts, 9 Reb, 6 Ast https://t.co/De6pX9SHWi",FALSE
"2015-11-20",0,FALSE,"667551207855013888",TRUE,NA,NA,NA,NA,NA,2594,FALSE,"jhandfield61","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @SportsCenter: Joseph Patterson, the man convicted in the death of Adrian Peterson's 2-year-old son, has been sentenced to life in priso…",FALSE
"2015-11-20",0,FALSE,"667551206932242432",TRUE,NA,NA,NA,NA,NA,629,FALSE,"tylenalll","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @SportsCenter: Cavaliers improve to 6-0 at home, defeating Bucks, 115-110.

LeBron James: 27 Pts, 9 Reb, 6 Ast https://t.co/De6pX9SHWi",FALSE
"2015-11-20",0,FALSE,"667551206559096832",TRUE,NA,NA,NA,NA,NA,629,FALSE,"pjones1828","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @SportsCenter: Cavaliers improve to 6-0 at home, defeating Bucks, 115-110.

LeBron James: 27 Pts, 9 Reb, 6 Ast https://t.co/De6pX9SHWi",FALSE
"2015-11-20",0,FALSE,"667551202717093888",TRUE,NA,NA,NA,NA,NA,269,FALSE,"VaughnJakub","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @SportsCenter: Marcus Mariota gives the Titans a 13-9 lead with his first career Rush TD. https://t.co/QbgInbTev0",FALSE
"2015-11-20",0,FALSE,"667551198761889792",TRUE,NA,NA,NA,NA,NA,5509,FALSE,"beneetheman","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @SportsCenter: BREAKING: @Nationals OF Bryce Harper wins NL MVP by unanimous vote. https://t.co/7v16lxTOkG",FALSE
"2015-11-20",0,FALSE,"667551198719832064",TRUE,NA,NA,NA,NA,NA,629,FALSE,"MigsRojas23","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @SportsCenter: Cavaliers improve to 6-0 at home, defeating Bucks, 115-110.

LeBron James: 27 Pts, 9 Reb, 6 Ast https://t.co/De6pX9SHWi",FALSE
"2015-11-20",0,FALSE,"667551197927251969",FALSE,NA,NA,"667550946906546176","KevGoff9","447646948",0,FALSE,"DavidsonBaker_","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@KevGoff9 @SethHill12 @SportsCenter I hate this world",FALSE
"2015-11-20",0,FALSE,"667551191115526144",TRUE,NA,NA,NA,NA,NA,629,FALSE,"TyDelbridge","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @SportsCenter: Cavaliers improve to 6-0 at home, defeating Bucks, 115-110.

LeBron James: 27 Pts, 9 Reb, 6 Ast https://t.co/De6pX9SHWi",FALSE
