"created","favoriteCount","favorited","id","isRetweet","latitude","longitude","replyToSID","replyToSN","replyToUID","retweetCount","retweeted","screenName","statusSource","text","truncated"
"2015-11-20",0,FALSE,"667539245020545024",TRUE,NA,NA,NA,NA,NA,1,FALSE,"adi7anand","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @NZCricketMuseum: #BornToday: the earliest born national representative in NZ history, Frederick Wilding (b. 1852). His son was @Wimbled…",FALSE
"2015-11-20",0,FALSE,"667538344218337282",FALSE,NA,NA,NA,NA,NA,1,FALSE,"NZCricketMuseum","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","#BornToday: the earliest born national representative in NZ history, Frederick Wilding (b. 1852). His son was @Wimbledon winner, Anthony.",FALSE
"2015-11-20",2,FALSE,"667537899353563137",FALSE,NA,NA,NA,NA,NA,0,FALSE,"AusTennisMag","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Did you know Aussie cricketer Mitchell #Johnson originally wanted to be a tennis player and play @Wimbledon https://t.co/i1tdG0hPsO",FALSE
"2015-11-20",0,FALSE,"667530593710641153",TRUE,NA,NA,NA,NA,NA,22,FALSE,"VeeruMM","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @ICC: Don't miss this week's ICC Cricket 360° as we chat to former @Wimbledon junior champion turned cricketer, Ash Barty https://t.co/q…",FALSE
"2015-11-20",0,FALSE,"667517161687093252",TRUE,NA,NA,NA,NA,NA,894,FALSE,"gulaabsingh10","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Wimbledon: WATCH: Fans' view. Djokovic soaks up the applause outside Centre Court #Wimbledon https://t.co/bfGlnGFwru",FALSE
"2015-11-20",0,FALSE,"667514981324161024",TRUE,NA,NA,NA,NA,NA,82307,FALSE,"DalayNavarro","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @NiallOfficial: Why do I get the feeling this is gona be a long morning ? @Wimbledon",FALSE
"2015-11-20",0,FALSE,"667507320495058944",FALSE,NA,NA,"485781537409859584","geniebouchard","52818366",0,FALSE,"ZavalaCobos","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","@geniebouchard @Wimbledon",FALSE
"2015-11-20",0,FALSE,"667506352462393344",TRUE,NA,NA,NA,NA,NA,1,FALSE,"tmmmarshall","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @IBMServices: 1.7M app downloads @Wimbledon --&gt; greater #fanexperience through data insights &amp; player performance. #THINKoftheFan https:…",FALSE
"2015-11-20",0,FALSE,"667496370786430976",TRUE,NA,NA,NA,NA,NA,60,FALSE,"AdolphIloh","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @WTA: 2015 Season in Review

@SerenaWilliams completes #SerenaSlam II at @Wimbledon--&gt; https://t.co/lsj9UfkGvm #WTA https://t.co/aEANnhM…",FALSE
"2015-11-20",0,FALSE,"667490690239086592",FALSE,NA,NA,"481035411100540928","bobbyreardon13","1078080559",0,FALSE,"lart0612","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@bobbyreardon13 @Wimbledon @andy_murray 
 Hvg bmky ,$",FALSE
