Active,Assertive,Energetic,Enthusiastic,Outgoing,Talkative,Appreciative,Forgiving,Generous,Kind,Sympathetic,Trusting,Efficient,Organized,Planful,Reliable,Responsible,Thorough,Anxious,Self-pitying,Tense,Touchy,Unstable,Worrying,Artistic,Curious,Imaginative,Insightful,Original,Wide-Interests
Active,confident,active,amped,extrovert,articulate,grateful,lenient,acceptable,affectionate,acceptable,believing,able,plan,full-of-plans,decent,answerable,accurate,worried,depression,anxious,sensitive,ambiguous,gloom,aesthetic,inquisitive,artistic,intelligent,authentic,ample
Live,decisive,aggressive,eager,unreserved,chatty,responsive,magnanimous,benevolent,amiable,benevolent,confiding,active,well-organized,resourceful,decisive,culpable,careful,concerned,grief,nervous,oversensitive,changeable,fret,creative,interested,extravagant,penetrating,initial,broad
dynamic,emphatic,dynamic,keen,demonstrative,effusive,beholden,merciful,big,charitable,big,credulous,adequate,well-ordered,scheming,dependable,guilty,complete,apprehensive,misery,edgy,hypersensitive,erratic,be-worried,decorative,analytical,fanciful,sharp,aboriginal,catholic
zestful,forceful,enterprising,anxious,affectionate,garrulous,indebted,accepting,charitable,compassionate,charitable,gullible,capable,in-order,schemes,good,important,comprehensive,fearful,regret,strained,easily-offended,fickle,be-concerned,dramatic,disquisitive,fantastic,shrewd,beginning,comprehensive
spirited,insistent,industrious,ardent,genial,glib,obliged,kind,considerate,considerate,considerate,innocent,competent,well-run,intentional,honest,liable,detailed,uneasy,remorse,stressed,thin-skinned,insecure,be-anxious,imaginative,examining,ingenious,smart,first,expanded
vital,pushy,lively,avid,cordial,loquacious,pleased,altruistic,fair,cordial,fair,naive,decisive,well-regulated,construct,positive,pledged,exhaustive,ill-at-ease,distress,under-a-strain,irritable,irrational,disturb,musical,impertinent,offbeat,alert,infant,expansive
vibrant,self-assured,powerful,concerned,approachable,voluble,thankful,charitable,good,courteous,good,undoubting,dynamic,orderly,coordinate,predictable,subject,full,perturbed,desolation,under-pressure,tetchy,precarious,distress,cultivated,inquiring,original,awake,opening,extensive
sparkling,self-confident,spirited,earnest,gregarious,big-mouthed,gratified,considerate,helpful,friendly,helpful,unquestioning,economical,efficient,create,respectable,at-fault,intensive,troubled,disappointment,agitated,crotchety,risky,upset,cultured,inspecting,romantic,aware,pioneer,far-reaching
bouncy,absolute,sprightly,exuberant,attention-seeking,chattering,active,forgiving,honest,gentle,honest,unsuspecting,energetic,neat,establish,safe,at-the-helm,meticulous,disquieted,despondency,unrelaxed,irascible,rocky,concern,elegant,interfering,visionary,brainy,primary,general
bubbly,assured,spry,fanatical,convival,eloquent,aware,selfless,hospitable,gracious,hospitable,unsuspicious,potent,tidy,form,sincere,authoritative,painstaking,bothered,dejection,in-a-state-of-nerves,peevish,sensitive,shaky,exquisite,intrusive,vivid,conscious,prime,immense
perky,certain,strong,fervent,garrulous,fluent,compassionate,unselfish,lavish,humane,lavish,accepting,powerful,methodogical,formulate,solid,bonded,profound,disturbed,disconsolate,fretful,querulous,shaky,agonize,fine,investigative,whimsical,cute,primitive,inclusive
magnetic,decided,tireless,forceful,hail-fellow-well-met,full-of-hot-air,conscious,unstinting,reasonable,kindhearted,reasonable,assuming,productive,businesslike,regulate,stable,bound,absolute,distressed,dispirited,uneasy,bad-tempered,slippery,brood,graceful,meddlesome,avant-garde,discerning,archetypal,large
